Column,salary,salary_in_usd,remote_ratio,work_year,experience_level,employment_type,salary_currency,employee_residence,company_location,company_size
salary,1.0,0.8839095655867377,-0.026318823816111597,0.1424125384282229,0.04917266408787953,0.014689686254685743,0.943748361815782,0.7456910203540316,0.8749456240527669,0.14211205623910736
salary_in_usd,0.8839095655867377,1.0,-0.06307958657803599,0.23940314563737353,0.4462161314577394,0.12807120477315312,0.4861359732154709,0.5387491559820433,0.5194803801530591,0.2296612996909988
remote_ratio,-0.026318823816111597,-0.06307958657803599,1.0,0.248595829107491,0.057527225237657194,0.07148564736225607,0.10887021889557347,0.20373934034650706,0.1861684013618789,0.16005232425482238
work_year,0.1424125384282229,0.23940314563737353,0.248595829107491,1.0,0.031653734186263854,0.011931728501755582,0.06450927414716733,0.09083763022022806,0.08076007824551168,0.126473032243702
experience_level,0.04917266408787953,0.4462161314577394,0.057527225237657194,0.031653734186263854,1.0,0.021662019112777188,0.09008672603918477,0.11333968684557483,0.11098086947716486,0.05184442405963655
employment_type,0.014689686254685743,0.12807120477315312,0.07148564736225607,0.011931728501755582,0.021662019112777188,1.0,0.018796616225036762,0.049391183678549104,0.03187132008952642,0.02572180308341146
salary_currency,0.943748361815782,0.4861359732154709,0.10887021889557347,0.06450927414716733,0.09008672603918477,0.018796616225036762,1.0,0.6386190315838347,0.640605841284115,0.09885414610125116
employee_residence,0.7456910203540316,0.5387491559820433,0.20373934034650706,0.09083763022022806,0.11333968684557483,0.049391183678549104,0.6386190315838347,1.0,0.8981137420409833,0.13554837080201593
company_location,0.8749456240527669,0.5194803801530591,0.1861684013618789,0.08076007824551168,0.11098086947716486,0.03187132008952642,0.640605841284115,0.8981137420409833,1.0,0.12129393115724932
company_size,0.14211205623910736,0.2296612996909988,0.16005232425482238,0.126473032243702,0.05184442405963655,0.02572180308341146,0.09885414610125116,0.13554837080201593,0.12129393115724932,1.0
